id,church_name_ch,church_name_en,district_modern,district_japanese,address_cn,origin_longitude,origin_latitude,new_longitude,new_latitude,wartime_status,safety_net_service,japanese_policy_impact,description_ch,description_en,sources
11,中華基督教會聖光堂,Shing Kwong Church,Central and Western District,Dorawan-ku,銅鑼灣東院道,114.1888298,22.27718683,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁356。
12,五旬節聖潔會筲箕灣堂,"Pentecostal Mission, Shau Kei Wan",Eastern District,Shokiwan-ku,西灣河筲箕灣道117號,114.2301189,22.27957036,,,N/A,N/A,N/A,N/A,N/A,"陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。; Item MD01487,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD01487/."
13,崇真會（筲箕灣）,Shau Kei Wan Tsung Tsin Church,Eastern District,Shokiwan-ku,筲箕灣巴色道,114.2312829,22.28164527,,,Open_Restricted,N/A,HKCC_Member; Property_Confiscated,部分用作憲兵駐地。參與基督教總會；運作照常,Part of it was used as a military police station. It participated in the Christian General Church; its operations continued as usual.,"陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357；""Item MD01702,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD01702/."
14,香港仔浸信會,Aberdeen Baptist Church,Southern District,Motominato-ku,香港仔,114.155248,22.24413865,,,Open_Restricted,N/A,HKCC_Member; Property_Confiscated,部分用作憲兵駐地。參與基督教總會；運作照常。,Part of it was used as a military police station. It participated in the Christian General Assembly; its operations continued as usual.,"陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357；""Item MD02907,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02907/."
15,元海面傳道堂,Hong Kong Harbour Mission Church,Southern District,Motominato-ku,鴨脷洲,114.16,22.24,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；香港海面傳道會改名為元香港海面傳道堂。參與基督教總會；運作繼續但受阻礙。,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches General Association. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church's name must include ""Christian Church [Name] Church""; the Hong Kong Seaside Mission was renamed the Former Hong Kong Seaside Mission. It participated in the Christian Churches General Association; its operations continued but were hampered.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275，357。
16,九龍城崇真會,Kowloon City Tsung Tsin Church,Kowloon City District,Moto-ku,1 龍崗道,114.1994068,22.33233175,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357。
17,聖公會聖三一堂,Holy Trinity Church,Kowloon City District,Yamashita-ku,九龍馬頭涌,114.1889365,22.32564335,,,Open_Restricted,N/A,HKCC_Member; Property_Confiscated,部分被用作日軍宿舍。參與基督教總會；運作照常。,Part of it was used as Japanese military quarters. It participated in the Christian General Church; its operations continued as usual.,"陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357；""Item MD01644,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD01644/."
18,九龍城浸信會,Kowloon City Baptist Church,Kowloon City District,Moto-ku,九龍城浸信會,114.1873755,22.3267031,,,Merged; Open_Restricted,Education_Service,HKCC_Member; Forced_Merger_HKCC,香港閩南基督教會天光道閩南會加入其中，民生小學亦在此運作。參與基督教總會；運作照常。,"The Tin Kwong Road Hokkien Church of the Hong Kong Hokkien Christian Church has joined the organization, and the Min Sheng Primary School also operates there. It participates in the Christian Council; operations continue as normal.","陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357；""Item MD02917,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02917/."
19,五旬節會九龍堂,"Pentecostal Mission, Kowloon",Yau Tsim Mong District,Daikaku-ku,旺角窩打老道,114.1754483,22.31888876,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
20,尖沙嘴浸信會,Tsim Sha Tsui Baptist Church,Yau Tsim Mong District,Minato-ku,尖沙咀山林道,114.174011,22.30275639,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；浸信會尖沙咀堂改名為尖沙咀浸信堂。參與基督教總會，曾短暫被日軍佔領，其後照常運作。,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches Association through the association. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church's name must include ""Christian Church [Name] Church""; the Tsim Sha Tsui Baptist Church was renamed Tsim Sha Tsui Baptist Church. The Christian Church, which participated in the association, was briefly occupied by the Japanese army but subsequently resumed normal operations.","陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275，358。""Item MD02563,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02563/."
21,九龍便以利堂,China Peniel Missionary Society,Yau Tsim Mong District,Katori-ku,油麻地咸美頓街,114.1698779,22.31460759,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；便以利會九龍堂改名為九龍便以利堂。參與基督教總會；多數成員被拘留，但仍正常運作。,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches General Association through the association. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church's name must include ""Christian Church [Name] Church""; the Benedictine Church in Kowloon was renamed Kowloon Benedictine Church. [The association] participated in the Christian Churches General Association; most members were detained, but the association continued to operate normally.","陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。""Item MD02170,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02170/."
22,神召會,First Assembly of God Church,Yau Tsim Mong District,Daikaku-ku,彌敦道698號,114.1692758,22.3135379,114.1694164,22.32064468,N/A,N/A,N/A,美國女宣教士黎愛華姑娘來港傳揚福音，最初在上海街佈道，後來租用彌敦道698號為佈道所。,"American missionary Elaine Li came to Hong Kong to spread the gospel. She initially preached on Shanghai Street, and later rented 698 Nathan Road as her preaching place.",神召會禮拜堂，「本會歷史」。（瀏覽日期：13/11/2025）
23,中華基督教會望覺堂,Mongkok Church,Yau Tsim Mong District,Daikaku-ku,旺角弼街77號,114.1692873,22.32190252,,,Relocated; Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常，搬遷至弼街77號。,"It participated in the Christian General Association; its operations continued as usual, and it moved to 77 Bute Street.","陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁356。""Item MD02113,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02113/."
24,九龍禮賢會,Kowloon Rhenish Church,Yau Tsim Mong District,Daikaku-ku,旺角通菜街,114.1702459,22.32151602,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
25,華人自立基督會,Hong Kong Chinese Church of Christ,Sham Shui Po District,Aoyama-ku,福華街35-37號,114.1661483,22.32836342,,,N/A,N/A,N/A,N/A,N/A,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
26,中華聖潔會,China Holiness Church,Sham Shui Po District,Aoyama-ku,深水埗鴨寮街,114.1637603,22.33107961,,,Relocated; Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常，搬遷至鴨寮街舊址。,"It participated in the Christian Council; its operations continued as usual, and it moved to its old site on Apliu Street.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
27,深水埗崇真堂,Sham Shui Po Tsung Tsin Church,Sham Shui Po District,Aoyama-ku,深水埗福華街,114.16544,22.3289647,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；深水埗崇真會改名為深水埗崇真堂。參加基督教總會；運作照常，部分被用作區役所。,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches General Association. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church must include ""Christian Church [Name] Church"" in its name; the Sham Shui Po Chung Tsin Church was renamed Sham Shui Po Chung Tsin Church. The church joined the Christian Churches General Association; its operations continued as usual, with some sections used as ward offices.","陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275，357。""Item MD02012,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02012/."
28,中華基督教會深愛堂,Shum Oi Church,Sham Shui Po District,Aoyama-ku,福華街83號,114.162,22.329,114.1632563,22.32983942,Relocated,Shelter,Military_Zone,前身為倫敦傳道會皮堯士牧師在深水埗街市側開辦的「倫敦傳道會福音堂」，後於1898年借用「中國訊官衙署」為堂址。戰時因位處軍方於青山區（今深水埗）劃定的「娛樂區」而遷移至福華街83號。,"Formerly known as the ""London Missionary Church Gospel Church"" opened by Reverend Pierre of the London Missionary Society next to the Sham Shui Po Market, it later used the ""Chinese Interrogation Office"" as its church site in 1898. During the war, it was moved to 83 Fuk Wah Street because it was located in the ""entertainment area"" designated by the military in the Castle Peak District (now Sham Shui Po).",中華基督教會深愛堂，「中華基督教會深愛堂-認識深愛」。（瀏覽日期：10/11/2025）
29,鴨脷洲浸信會,Ap Lei Chau Baptist Church,Southern District,Motominato-ku,鴨脷洲,114.1539241,22.24339554,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357。
30,五旬節聖潔會鴨脷洲堂,Pentecostal Ap Lei Chau Church,Southern District,Motominato-ku,鴨脷洲大街9至15號,114.1572071,22.24448744,,,N/A,N/A,N/A,N/A,N/A,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
31,閩南堂,Man Lam Church,Central and Western District,Mizuki-ku,西營盤般咸道,114.1411022,22.28386624,,,Relocated; Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常，使用禮賢會會址。,"Participating in the Christian Council; operations continue as usual, using the Rhenish Church's premises.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁356。
32,金光教香港教會,Konkokyo Hong Kong Church,Wanchai District,Higashi-ku,駱克道34號,114.1704627,22.27802689,,,N/A,N/A,N/A,N/A,N/A,"""Item MD01550,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD01550/."
33,基督教復臨安息日會香港會堂,Seventh Day Adventist Church,Wanchai District,Aoba-ku,跑馬地雲地利道,114.1853496,22.27211109,,,Suspended,N/A,Property_Confiscated,被不知名日本人機構/組織佔用,Occupied by an unknown Japanese organization/institution,"陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。""Item MD02598,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02598/."
34,播道會侯王堂,Hau Wong Evangelical Church,Kowloon City District,Moto-ku,九龍城侯王道,114.1886455,22.32882733,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357。
35,基督教蒲崗山浸信會,Po Kong Hill Baptist Church,Kowloon City District,Moto-ku,蒲崗山村,114.1905019,22.32876053,（龍崗道廿七號二樓）,,Destroyed,N/A,Airport_Expansion,因日政府擴展啟德機場計畫而被拆毀，遷移到龍崗道廿七號二樓，改名為潮人浸信會。參與基督教總會；運作照常。,"Demolished due to the Japanese government's expansion plan for Kai Tak Airport, the church relocated to the second floor of 27 Lung Kong Road and was renamed Chiu Chow Baptist Church. It participates in the General Christian Council and continues to operate as usual.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁175，357。
36,九龍城基督徒會,Kowloon City Christian Church,Kowloon City District,Moto-ku,九龍城嘉林邊道,114.1863002,22.32938687,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會。,Participate in the Christian Council.,"陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358；""Item MD00345,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD00345/."
37,廣西宣道會香港分堂,Guangxi Christian & Missionary Alliance Hong Kong Church,Yau Tsim Mong District,Kashima-ku,25 金巴倫道,114.1768833,22.32923185,,,Open_Restricted,N/A,HKCC_Member; Foreign_Staff_Interned,參與基督教總會；歐洲教會領袖被監禁，但運作照常。,"They participate in the Christian Council; European church leaders are imprisoned, but operations continue as usual.","""Item MD02053,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02053/."
38,播道會太子堂,Prince Edward Evangelical Church,Yau Tsim Mong District,Daikaku-ku,旺角花園街,114.1701339,22.32486383,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357。
39,中華基督教會長老堂,Cheung Lo Church,Yau Tsim Mong District,Daikaku-ku,32 水渠道,114.1695803,22.32368025,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁356。
40,靈光堂,Emmanuel Mission Church,Yau Tsim Mong District,Minato-ku,218 彌敦道,114.1720253,22.30373348,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,"""Item MD02572,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02572/."
41,廣東道循道會支堂,Canton Road Methodist Church,Yau Tsim Mong District,Katori-ku,油麻地廣東道,114.1683349,22.30767815,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357。
42,喜樂福音堂,Hephzibah Church,Sham Shui Po District,Aoyama-ku,33 大埔道,114.1659761,22.33011832,,,Open_Restricted,N/A,Refused_HKCC_Member,拒絕加入基督教總會；運作照常。,"They refused to join the Christian General Association; however, operations continued as usual.","""Item MD02118,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD02118/."
43,道風山,To Fung Shan Christian Mission To Buddhists,Sha Tin District,Shaden-ku,沙田道風山,114.1821947,22.38445087,,,Open_Restricted,N/A,N/A,未被佔用，但被登記為道風山村。艾香德等三名挪威牧師與家眷滯留於山上，直至戰爭結束。,"It was not occupied, but was registered as Daofeng Mountain Village. Three Norwegian pastors, including Ai Xiangde, and their families remained on the mountain until the end of the war.","South China Morning Post, September 20, 1945, 4, cited in ""Item MD03362"", The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 11, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/."
44,中華基督教會全完堂,Chuen Yuen Church,Tsuen Wan District,Senwan-ku,荃灣,114.1180318,22.37111363,,,Open_Restricted,N/A,HKCC_Member; Property_Confiscated,參與基督教總會；運作照常，香港戰役期間曾被日軍短暫佔領。,"It participated in the Christian Council; its operations continued as usual, though it was briefly occupied by the Japanese army during the Battle of Hong Kong.","""Item MD01587,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD01587/."
45,中華基督教會大埔堂,Tai Po Church,Tai Po District,Taiho-ku,大埔,114.1635215,22.44910447,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常。,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁356。
46,中華基督教會長洲堂,Cheung Chau Church,Islands District,Cheung Chau Island,長州學校道9號,114.0298,22.2078,,,Merged,N/A,Forced_Merger_HKCC,香港基督教總會教政部推行「交換講壇」等政策以消除宗派門戶之見。中華基督教會長洲堂與長洲浸信會、便以利會長洲堂三堂合併為「長洲基督教會」，並以原中華基督教會長洲堂作為合併後的會址。,"The Hong Kong Christian Churches Union's Department of Education and Administration implemented policies such as ""exchanging pulpits"" to eliminate sectarianism. The Cheung Chau Church of the Chinese Christian Church, the Cheung Chau Baptist Church, and the Benevolent Cheung Chau Church merged into the ""Cheung Chau Christian Church,"" with the original Cheung Chau Church of the Chinese Christian Church serving as the new church's address.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
47,長州浸信會,Cheung Chau Baptist Church,Islands District,Cheung Chau Island,長州大新後街,114.0285,22.2058,114.0298,22.2078,Merged,N/A,Forced_Merger_HKCC,受基督教總會「交換講壇」與宗派融合政策影響，與中華基督教會長洲堂及便以利會合併為「長洲基督教會」，會址遷往原中華基督教會長洲堂。,"Influenced by the Christian Council's ""exchange of pulpits"" and denominational integration policy, it merged with the Chinese Christian Church Cheung Chau Church and the Benedictine Church to form ""Cheung Chau Christian Church,"" and its headquarters were moved to the former Chinese Christian Church Cheung Chau Church.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
48,中華便以利會長洲堂,Peniel Church Cheung Chau,Islands District,Cheung Chau Island,長州學校道,114.0292,22.2072,114.0298,22.2078,Merged,N/A,Forced_Merger_HKCC,受基督教總會「交換講壇」與宗派融合政策影響，與中華基督教會長洲堂及長洲浸信會合併為「長洲基督教會」，會址遷往原中華基督教會長洲堂。,"Influenced by the Christian Council's ""exchange of pulpits"" and denominational integration policy, it merged with the Chinese Christian Church Cheung Chau Church and Cheung Chau Baptist Church to form ""Cheung Chau Christian Church,"" and its headquarters were moved to the former Chinese Christian Church Cheung Chau Church.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
49,救恩堂,Kau Yan Church,Central and Western District,Mizuki-ku,西營盤高街97號,114.1408,22.2856,,,Open_Restricted,Refugee_Shelter; Food_Relief,N/A,戰時將堂址改為臨時庇護所與賑災所，積極發揮社區救援功能，在戰亂期間收留了200多名客家難民。,"During the war, the temple site was converted into a temporary shelter and disaster relief center, actively playing a community relief role and taking in more than 200 Hakka refugees during the war.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
50,閩南信徒聚會點,,,,九龍城鶴佬村,114.1905,22.3292,,,House_Church_Secret,Spiritual_Support,N/A,因戰事頻繁與交通受限，教會聚會空間轉向隱蔽化與家庭化。閩南信徒當時改至居住於鶴佬村的鄭伯年長老家中進行秘密家庭崇拜。,"Due to frequent wars and transportation restrictions, church gatherings became more secluded and home-like. At that time, believers in southern Fujian moved to the home of Elder Zheng Bonian, who lived in Helao Village, for secret family worship.",
,,,,,,,,,,,,,,N/A,
,,,,,,,,,,,,,,N/A,
# 教會英文名稱皆參考「日據香港」平台,,,,,,,,,,,,,,N/A,
